Missing File,Referenced In
stacks/images/stacks_logo_small.png,software.qmd
kristin-sikkink-nsf-grfp.jpg,2009-05-01-kristin-sikkink-nsf-grfp.qmd
nsf-alaska-stickleback.jpg,2009-10-01-nsf-genomics-alaska-stickleback.qmd
radseq-genomics.jpg,2010-02-01-hohenlohe-radseq-landmark.qmd
genome-scan-2010.jpg,2010-03-15-genome-scan-publication.qmd
nsf-pipefish-genomics.jpg,2010-05-01-nsf-pipefish-genomics.qmd
julian-catchen-nih.jpg,2010-07-01-julian-catchen-nih-fellowship.qmd
mosquito-phylogeny.jpg,2010-12-01-rad-mosquito-phylogeny.qmd
science-breakthrough-2010.jpg,2010-12-17-science-breakthrough-area-to-watch.qmd
genome-scans.jpg,2011-02-01-rad-genome-scans.qmd
science-human-genome.jpg,2011-02-25-science-human-genome-anniversary.qmd
bradic-thesis-defense.jpg,2011-08-01-bradic-defense-portugal.qmd
linkage-disequilibrium.jpg,2012-02-01-hohenlohe-linkage-disequilibrium.qmd
sikkink-poster-award.jpg,2012-02-01-sikkink-poster-award.qmd
kristin-sikkink-ddig.jpg,2012-02-20-kristin-sikkink-nsf-ddig.qmd
nsf-ddig-award.jpg,2012-03-01-sikkink-nsf-ddig.qmd
kate-ituarte-graduation.jpg,2012-06-01-kate-ituarte-graduation.qmd
taylor-wilson-graduation.jpg,2012-06-15-taylor-wilson-graduation.qmd
stickleback-2012.jpg,2012-08-10-stickleback-conference-awards.qmd
nih-systems-biology.jpg,2012-09-01-nih-systems-biology-center.qmd
clay-small.jpg,2012-11-01-clay-small-joins.qmd
stacks-software.jpg,2013-05-24-stacks-software-publication.qmd
oregon-stickleback-structure.jpg,2013-05-30-oregon-stickleback-structure.qmd
oregon-stickleback-map.jpg,2013-06-01-catchen-oregon-phylogeography.qmd
jaw-mechanics-evolution.jpg,2014-01-16-jaw-mechanics-evolution.qmd
computational-databases.jpg,2014-01-27-computational-databases-chapter.qmd
kristin-alligood-ddig.jpg,2014-03-15-kristin-alligood-nsf-ddig.qmd
remanei-evolution.jpg,2014-05-01-rapid-evolution-plasticity.qmd
transgenerational-stress.jpg,2014-09-14-transgenerational-effects.qmd
lundberg-thesis-defense.jpg,2014-09-30-lundberg-defense-sweden.qmd
mitochondrial-admixture.jpg,2015-01-01-mitochondrial-admixture.qmd
perchlorate-hormones.jpg,2015-01-01-perchlorate-embryonic-androgen.qmd
thom-nelson-ddig.jpg,2015-01-20-thom-nelson-nsf-ddig.qmd
perchlorate-temporal-hormones.jpg,2015-02-14-perchlorate-temporal-hormones.qmd
perchlorate-skeletal-development.jpg,2015-02-16-perchlorate-skeletal-development.qmd
perchlorate-angiogenesis.jpg,2015-04-02-perchlorate-angiogenesis.qmd
polyploid-salmonids.jpg,2015-05-01-allendorf-polyploid-genetics.qmd
environmental-genetic-networks.jpg,2015-05-01-environmental-genetic-networks.qmd
polyploid-salmonids.jpg,2015-05-01-polyploid-salmonids.qmd
emily-beck.jpg,2015-10-01-emily-beck-joins.qmd
ray-troll-visit.jpg,2015-10-01-ray-troll-visit.qmd
plos-genetics-anniversary.jpg,2015-10-15-plos-genetics-top-cited.qmd
ray-troll-visit.jpg,2015-10-20-ray-troll-visit.qmd
response-letter.jpg,2015-11-01-allendorf-wright-response.qmd
scientific-response.jpg,2015-12-01-response-may-delany.qmd
alaska-uplift.jpg,2015-12-14-rapid-evolution.qmd
pnas-stickleback-evolution.jpg,2015-12-22-pnas-rapid-evolution.qmd
earthquake-evolution.jpg,2015-12-29-earthquake-evolution-pnas.qmd
bassham-radio-interview.jpg,2016-01-01-bassham-jefferson-radio.qmd
gnotobiotic-stickleback.jpg,2016-01-01-gnotobiotic-stickleback.qmd
jefferson-public-radio.jpg,2016-01-20-bassham-jefferson-radio.qmd
bassham-scientific-american.jpg,2016-02-01-bassham-scientific-american.qmd
scientific-american-fish-evolution.jpg,2016-02-15-bassham-scientific-american.qmd
nelson-genetics-poster.jpg,2016-04-01-nelson-genetics-poster.qmd
fuiten-evowibo-talk.jpg,2016-04-02-fuiten-evowibo-talk.qmd
alligood-evowibo-poster.jpg,2016-04-03-alligood-evowibo-poster.qmd
nelson-evowibo-talk.jpg,2016-04-04-nelson-evowibo-talk.qmd
nikoleris-thesis-defense.jpg,2016-04-04-nikoleris-defense-sweden.qmd
currey-evowibo-poster.jpg,2016-04-05-currey-evowibo-poster.qmd
crandall-evowibo-poster.jpg,2016-04-06-crandall-evowibo-poster.qmd
evo-wibo-2016.jpg,2016-04-25-evo-wibo-sweep.qmd
perchlorate-germcells.jpg,2016-07-06-perchlorate-germcells.qmd
allied-genetics-2016.jpg,2016-07-15-thom-nelson-allied-genetics.qmd
cresko-aaas-fellow.jpg,2016-11-01-cresko-aaas-fellow.qmd
bill-cresko-aaas-fellow.jpg,2016-11-21-bill-cresko-aaas-fellow.qmd
gulf-pipefish-genome.jpg,2016-12-20-gulf-pipefish-genome.qmd
gulf-pipefish-genome.jpg,2016-12-22-gulf-pipefish-genome-published.qmd
alligood-defense.jpg,2017-01-01-alligood-phd-defense.qmd
fuiten-ddig-award.jpg,2017-01-02-fuiten-nsf-ddig.qmd
beck-evomics-czech.jpg,2017-01-03-beck-evomics-czech.qmd
evomics-cesky-krumlov.jpg,2017-01-10-emily-beck-evomics-workshop.qmd
allison-fuiten-ddig.jpg,2017-01-15-allison-fuiten-nsf-ddig.qmd
kristin-alligood-defense.jpg,2017-01-20-kristin-alligood-phd-defense.qmd
host-microbe-transcription.jpg,2017-03-01-host-microbe-transcription.qmd
iodide-perchlorate-thyroid.jpg,2017-03-01-iodide-perchlorate-thyroid.qmd
martin-stervander.jpg,2017-09-01-martin-stervander-joins.qmd
stervander-welcome.jpg,2017-09-01-stervander-joins-lab.qmd
ancient-mtdna-lineages.jpg,2017-11-01-ancient-mtdna-lineages.qmd
developmental-armor-loss.jpg,2017-11-08-developmental-armor-loss.qmd
naturalistic-experimental-design.jpg,2018-01-16-naturalistic-experimental-design.qmd
ancient-genomic-variation.jpg,2018-01-26-ancient-genomic-variation.qmd
alternative-haplotypes.jpg,2018-07-01-alternative-haplotypes.qmd
stickleback-evolution.jpg,2018-07-01-bassham-parallel-evolution.qmd
environmental-evolutionary-drivers.jpg,2019-03-01-environmental-evolutionary-drivers.qmd
threespine-ipa.jpg,2019-05-01-threespine-ipa.qmd
niebergall-goldwater.jpg,2019-05-28-niebergall-goldwater.qmd
oregon-gut-microbiome.jpg,2019-06-26-oregon-gut-microbiome.qmd
selection-linkage-structure.jpg,2019-08-01-selection-linkage-structure.qmd
genetic-phenotypic-divergence.jpg,2019-10-01-oregon-stickleback-divergence.qmd
score-students-2019.jpg,2019-11-01-score-students.qmd
microbial-methods.jpg,2019-11-05-microbial-methods.qmd
neutrophil-qtl.jpg,2019-12-17-neutrophil-qtl.qmd
new-year-2020.jpg,2019-12-30-happy-new-year-2020.qmd
few-stickleback-modeling.jpg,2020-02-01-few-stickleback-suffice.qmd
chromonomer-tool.jpg,2020-02-05-chromonomer-tool.qmd
stervander-marie-curie.jpg,2020-02-20-stervander-marie-curie.qmd
mito-nuclear-interactions.jpg,2022-04-01-beck-mito-nuclear.qmd
healey-genetics-paper.jpg,2022-04-01-healey-genetics-paper.qmd
single-cell-iso-seq.jpg,2022-04-01-healey-single-cell.qmd
healey-f31-fellowship.jpg,2022-06-01-healey-f31-fellowship.qmd
seadragon-nytimes.jpg,2022-07-07-seadragon-nytimes.qmd
cresko-lokey-chair.jpg,2022-09-16-cresko-lokey-chair.qmd
covid-latinx-intervention.jpg,2022-09-23-covid-latinx-intervention.qmd
meyer-knight-scholar.jpg,2023-05-15-meyer-knight-scholar.qmd
goyal-hui-fellowship.jpg,2023-06-01-goyal-hui-fellowship.qmd
woods-ms-magazine.jpg,2023-09-20-woods-ms-magazine.qmd
lokey-chair.jpg,2024-10-01-lokey-chair.qmd
micah-woods.jpg,2024-11-15-woods-ms-magazine.qmd
micah-woods.jpg,2025-11-05-contreras-SACNAS.qmd
micah-woods.jpg,2025-11-20-lujan-defense.qmd
